City,lat,lng,,,,,city,state_id
"Roaring Springs, TX",33.8992,-100.8561,,,,,Roaring Springs,TX
"Corinth, TX",33.1434,-97.0681,,,,,Corinth,TX
"Holliday, TX",33.8141,-98.6899,,,,,Holliday,TX
"Clear Lake Shores, TX",29.5457,-95.0328,,,,,Clear Lake Shores,TX
"Lantana, TX",33.092,-97.1216,,,,,Lantana,TX
"Meadow, TX",33.3377,-102.2059,,,,,Meadow,TX
"Post Oak Bend City, TX",32.6343,-96.3186,,,,,Post Oak Bend City,TX
"Seco Mines, TX",28.7467,-100.5027,,,,,Seco Mines,TX
"Pflugerville, TX",30.4525,-97.602,,,,,Pflugerville,TX
"Stamford, TX",33.0155,-99.6717,,,,,Stamford,TX
"Rhome, TX",33.0647,-97.4779,,,,,Rhome,TX
"Briar, TX",32.9884,-97.5528,,,,,Briar,TX
"Barstow, TX",31.4616,-103.3955,,,,,Barstow,TX
"Westdale, TX",27.9657,-97.9938,,,,,Westdale,TX
"Groves, TX",29.9457,-93.9164,,,,,Groves,TX
"Beasley, TX",29.4946,-95.9146,,,,,Beasley,TX
"Falcon Lake Estates, TX",26.8719,-99.2585,,,,,Falcon Lake Estates,TX
"El Lago, TX",29.5733,-95.044,,,,,El Lago,TX
"Dell City, TX",31.9349,-105.1998,,,,,Dell City,TX
"Tira, TX",33.3222,-95.5606,,,,,Tira,TX
"Weir, TX",30.6759,-97.5929,,,,,Weir,TX
"Byers, TX",34.0696,-98.1913,,,,,Byers,TX
"Ranchitos East, TX",27.4901,-99.3668,,,,,Ranchitos East,TX
"Los Barreras, TX",26.3911,-98.9184,,,,,Los Barreras,TX
"Easton, TX",32.382,-94.5912,,,,,Easton,TX
"Alto, TX",31.651,-95.0708,,,,,Alto,TX
"El Castillo, TX",26.3349,-98.6384,,,,,El Castillo,TX
"Canadian, TX",35.9097,-100.3839,,,,,Canadian,TX
"New Fairview, TX",33.1122,-97.4489,,,,,New Fairview,TX
"Dublin, TX",32.0875,-98.3391,,,,,Dublin,TX
"Muenster, TX",33.6586,-97.3874,,,,,Muenster,TX
"Cumings, TX",29.5835,-95.7965,,,,,Cumings,TX
"Bangs, TX",31.7162,-99.1303,,,,,Bangs,TX
"Franklin, TX",31.025,-96.4876,,,,,Franklin,TX
"Kemp, TX",32.4349,-96.2234,,,,,Kemp,TX
"Burkburnett, TX",34.0746,-98.5672,,,,,Burkburnett,TX
"Hawk Cove, TX",32.8839,-96.0833,,,,,Hawk Cove,TX
"La Paloma Addition, TX",28.017,-97.5009,,,,,La Paloma Addition,TX
"Macdona, TX",29.3205,-98.6973,,,,,Macdona,TX
"Plum Grove, TX",30.2007,-95.0958,,,,,Plum Grove,TX
"Sand Springs, TX",32.2795,-101.3496,,,,,Sand Springs,TX
"Indio, TX",26.5489,-99.0959,,,,,Indio,TX
"El Socio, TX",26.3404,-98.6371,,,,,El Socio,TX
"Sachse, TX",32.9726,-96.5793,,,,,Sachse,TX
"Big Sandy, TX",32.586,-95.1127,,,,,Big Sandy,TX
"Trinidad, TX",32.1562,-96.1054,,,,,Trinidad,TX
"Northlake, TX",33.0802,-97.2545,,,,,Northlake,TX
"Lipscomb, TX",36.2215,-100.2621,,,,,Lipscomb,TX
"Athens, TX",32.2041,-95.8321,,,,,Athens,TX
"Fairfield, TX",31.7184,-96.1697,,,,,Fairfield,TX
"Bellville, TX",29.9472,-96.2597,,,,,Bellville,TX
"Matador, TX",34.015,-100.8211,,,,,Matador,TX
"Milford, TX",32.1214,-96.9498,,,,,Milford,TX
"Mansfield, TX",32.569,-97.1211,,,,,Mansfield,TX
"Palo Blanco, TX",26.3875,-98.9024,,,,,Palo Blanco,TX
"Markham, TX",28.9627,-96.0645,,,,,Markham,TX
"Seagraves, TX",32.9419,-102.5657,,,,,Seagraves,TX
"Roscoe, TX",32.4419,-100.5322,,,,,Roscoe,TX
"Grand Prairie, TX",32.687,-97.0209,,,,,Grand Prairie,TX
"Horseshoe Bend, TX",32.5752,-97.8782,,,,,Horseshoe Bend,TX
"Ropesville, TX",33.4133,-102.1552,,,,,Ropesville,TX
"Glen Rose, TX",32.2461,-97.7441,,,,,Glen Rose,TX
"Vega, TX",35.2456,-102.4262,,,,,Vega,TX
"Waller, TX",30.0629,-95.9221,,,,,Waller,TX
"Webster, TX",29.5317,-95.1188,,,,,Webster,TX
"Hartley, TX",35.8914,-102.3933,,,,,Hartley,TX
"Fort Hancock, TX",31.2837,-105.8446,,,,,Fort Hancock,TX
"Fulton, TX",28.0706,-97.0428,,,,,Fulton,TX
"San Isidro, TX",26.7136,-98.4479,,,,,San Isidro,TX
"Edna, TX",28.9756,-96.6483,,,,,Edna,TX
"Hermleigh, TX",32.6366,-100.7523,,,,,Hermleigh,TX
"Stonewall, TX",30.2497,-98.6593,,,,,Stonewall,TX
"Longview, TX",32.5192,-94.7622,,,,,Longview,TX
"Richland, TX",31.9176,-96.4266,,,,,Richland,TX
"Lubbock, TX",33.5642,-101.8871,,,,,Lubbock,TX
"Monte Alto, TX",26.3744,-97.9727,,,,,Monte Alto,TX
"Aurora, TX",33.056,-97.5096,,,,,Aurora,TX
"Cuero, TX",29.1023,-97.2871,,,,,Cuero,TX
"Sammy Martinez, TX",26.4329,-98.7512,,,,,Sammy Martinez,TX
"Coleman, TX",31.8317,-99.4222,,,,,Coleman,TX
"Stockdale, TX",29.2358,-97.9636,,,,,Stockdale,TX
"Chillicothe, TX",34.256,-99.5144,,,,,Chillicothe,TX
"Tuscola, TX",32.2105,-99.7993,,,,,Tuscola,TX
"Coldspring, TX",30.5898,-95.1307,,,,,Coldspring,TX
"San Perlita, TX",26.5007,-97.6394,,,,,San Perlita,TX
"Hedley, TX",34.8674,-100.6592,,,,,Hedley,TX
"Clyde, TX",32.4056,-99.5039,,,,,Clyde,TX
"Deweyville, TX",30.3034,-93.7592,,,,,Deweyville,TX
"Tomball, TX",30.0964,-95.6186,,,,,Tomball,TX
"Ballinger, TX",31.7396,-99.9559,,,,,Ballinger,TX
"Killeen, TX",31.0755,-97.7297,,,,,Killeen,TX
"El Rancho Vela, TX",26.4038,-98.7691,,,,,El Rancho Vela,TX
"Lufkin, TX",31.3217,-94.7277,,,,,Lufkin,TX
"Cedar Park, TX",30.5105,-97.8197,,,,,Cedar Park,TX
"Southlake, TX",32.9545,-97.1503,,,,,Southlake,TX
"Hilltop, TX",28.6938,-99.1761,,,,,Hilltop,TX
"Fairview, TX",33.1399,-96.6117,,,,,Fairview,TX
"Comfort, TX",29.9714,-98.904,,,,,Comfort,TX
"Josephine, TX",33.0617,-96.3188,,,,,Josephine,TX
"Beaumont, TX",30.085,-94.1451,,,,,Beaumont,TX
"Bear Creek, TX",30.1826,-97.94,,,,,Bear Creek,TX
"Grey Forest, TX",29.6169,-98.6833,,,,,Grey Forest,TX
"La Casita, TX",26.3367,-98.7334,,,,,La Casita,TX
"Tierra Grande, TX",27.7037,-97.5718,,,,,Tierra Grande,TX
"Kress, TX",34.3658,-101.7484,,,,,Kress,TX
"Windom, TX",33.5647,-95.9985,,,,,Windom,TX
"Winnsboro, TX",32.9557,-95.2909,,,,,Winnsboro,TX
"Agua Dulce, TX",27.7828,-97.9098,,,,,Agua Dulce,TX
"De Kalb, TX",33.5076,-94.6167,,,,,De Kalb,TX
"DeSoto, TX",32.5992,-96.8633,,,,,DeSoto,TX
"César Chávez, TX",26.3118,-98.1117,,,,,César Chávez,TX
"Meridian, TX",31.9261,-97.65,,,,,Meridian,TX
"Douglassville, TX",33.1917,-94.3519,,,,,Douglassville,TX
"B and E, TX",26.3565,-98.7537,,,,,B and E,TX
"Anson, TX",32.755,-99.8962,,,,,Anson,TX
"Hamilton, TX",31.6997,-98.1208,,,,,Hamilton,TX
"Abram, TX",26.2181,-98.418,,,,,Abram,TX
"Port Aransas, TX",27.8102,-97.0875,,,,,Port Aransas,TX
"Cross Mountain, TX",29.6535,-98.6564,,,,,Cross Mountain,TX
"Fifth Street, TX",29.5982,-95.552,,,,,Fifth Street,TX
"Shady Hollow, TX",30.1645,-97.8631,,,,,Shady Hollow,TX
"Briaroaks, TX",32.4958,-97.3033,,,,,Briaroaks,TX
"Edcouch, TX",26.2938,-97.9631,,,,,Edcouch,TX
"Blue Berry Hill, TX",28.3855,-97.792,,,,,Blue Berry Hill,TX
"Salado, TX",30.9462,-97.5281,,,,,Salado,TX
"Pantego, TX",32.7147,-97.154,,,,,Pantego,TX
"Hargill, TX",26.4423,-98.0146,,,,,Hargill,TX
"Bovina, TX",34.5157,-102.8846,,,,,Bovina,TX
"Skidmore, TX",28.2626,-97.6855,,,,,Skidmore,TX
"Cross Plains, TX",32.1271,-99.1658,,,,,Cross Plains,TX
"Garceno, TX",26.4124,-98.9405,,,,,Garceno,TX
"Big Spring, TX",32.2387,-101.4802,,,,,Big Spring,TX
"Watauga, TX",32.8718,-97.2515,,,,,Watauga,TX
"Holly Lake Ranch, TX",32.7125,-95.2003,,,,,Holly Lake Ranch,TX
"Gonzales, TX",29.5126,-97.4472,,,,,Gonzales,TX
"East Mountain, TX",32.6006,-94.8527,,,,,East Mountain,TX
"El Campo, TX",29.1986,-96.2725,,,,,El Campo,TX
"Perrin, TX",33.0348,-98.0693,,,,,Perrin,TX
"D'Hanis, TX",29.3305,-99.2753,,,,,D'Hanis,TX
"Lone Oak, TX",32.9961,-95.9406,,,,,Lone Oak,TX
"Bardwell, TX",32.2671,-96.6954,,,,,Bardwell,TX
"Rancho Chico, TX",28.0243,-97.4966,,,,,Rancho Chico,TX
"Livingston, TX",30.71,-94.9381,,,,,Livingston,TX
"Gordon, TX",32.5455,-98.3672,,,,,Gordon,TX
"Los Corralitos, TX",27.6412,-99.5574,,,,,Los Corralitos,TX
"San Carlos I, TX",27.4906,-99.3726,,,,,San Carlos I,TX
"Rio Hondo, TX",26.2346,-97.5817,,,,,Rio Hondo,TX
"West Columbia, TX",29.1421,-95.6489,,,,,West Columbia,TX
"Siesta Acres, TX",28.7564,-100.491,,,,,Siesta Acres,TX
"Grandfalls, TX",31.3405,-102.8545,,,,,Grandfalls,TX
"Westlake, TX",32.981,-97.2038,,,,,Westlake,TX
"The Colony, TX",33.0927,-96.8977,,,,,The Colony,TX
"Los Ybanez, TX",32.7188,-101.9174,,,,,Los Ybanez,TX
"Runaway Bay, TX",33.1773,-97.871,,,,,Runaway Bay,TX
"Lago, TX",26.0885,-97.6132,,,,,Lago,TX
"Alfred, TX",27.8742,-97.9799,,,,,Alfred,TX
"Darrouzett, TX",36.445,-100.3257,,,,,Darrouzett,TX
"Nordheim, TX",28.9239,-97.6141,,,,,Nordheim,TX
"Godley, TX",32.4513,-97.5322,,,,,Godley,TX
"Butterfield, TX",31.8426,-106.0822,,,,,Butterfield,TX
"Bloomington, TX",28.6504,-96.9022,,,,,Bloomington,TX
"Redland, TX",31.4033,-94.7182,,,,,Redland,TX
"Crosbyton, TX",33.6413,-101.2377,,,,,Crosbyton,TX
"La Vernia, TX",29.3542,-98.122,,,,,La Vernia,TX
"Bertram, TX",30.7428,-98.0591,,,,,Bertram,TX
"Hale Center, TX",34.0661,-101.8462,,,,,Hale Center,TX
"Woodsboro, TX",28.2379,-97.3255,,,,,Woodsboro,TX
"Ranchos Penitas West, TX",27.6745,-99.6035,,,,,Ranchos Penitas West,TX
"Marfa, TX",30.3107,-104.0255,,,,,Marfa,TX
"Brownfield, TX",33.1757,-102.273,,,,,Brownfield,TX
"Reno, TX",33.6659,-95.4768,,,,,Reno,TX
"Mesquite, TX",32.7623,-96.5889,,,,,Mesquite,TX
"Denver City, TX",32.968,-102.8318,,,,,Denver City,TX
"Allen, TX",33.1088,-96.6735,,,,,Allen,TX
"Marathon, TX",30.2157,-103.2433,,,,,Marathon,TX
"Piney Point Village, TX",29.7588,-95.5156,,,,,Piney Point Village,TX
"Fabens, TX",31.5136,-106.1521,,,,,Fabens,TX
"Wink, TX",31.7545,-103.1541,,,,,Wink,TX
"Canton, TX",32.554,-95.8639,,,,,Canton,TX
"Jefferson, TX",32.7634,-94.3511,,,,,Jefferson,TX
"Missouri City, TX",29.563,-95.5365,,,,,Missouri City,TX
"Nazareth, TX",34.5416,-102.1021,,,,,Nazareth,TX
"Bailey, TX",33.4336,-96.1651,,,,,Bailey,TX
"Cloverleaf, TX",29.7882,-95.1724,,,,,Cloverleaf,TX
"Frost, TX",32.0788,-96.8086,,,,,Frost,TX
"North Alamo, TX",26.216,-98.1264,,,,,North Alamo,TX
"Sherman, TX",33.6266,-96.6195,,,,,Sherman,TX
"Rankin, TX",31.2253,-101.9394,,,,,Rankin,TX
"Jacinto City, TX",29.7663,-95.241,,,,,Jacinto City,TX
"Mineral Wells, TX",32.8169,-98.0776,,,,,Mineral Wells,TX
"Little River-Academy, TX",30.9876,-97.3531,,,,,Little River-Academy,TX
"Canutillo, TX",31.9185,-106.6006,,,,,Canutillo,TX
"Winters, TX",31.9564,-99.9293,,,,,Winters,TX
"Los Arrieros, TX",26.5164,-99.0844,,,,,Los Arrieros,TX
"Lawn, TX",32.1366,-99.7501,,,,,Lawn,TX
"Log Cabin, TX",32.2231,-96.0222,,,,,Log Cabin,TX
"Linn, TX",26.5662,-98.1297,,,,,Linn,TX
"Enchanted Oaks, TX",32.2667,-96.109,,,,,Enchanted Oaks,TX
"Sunset, TX",33.4479,-97.7663,,,,,Sunset,TX
"Airport Heights, TX",26.4087,-98.8366,,,,,Airport Heights,TX
"Hutchins, TX",32.6421,-96.7093,,,,,Hutchins,TX
"Pecan Gap, TX",33.4382,-95.8519,,,,,Pecan Gap,TX
"Troy, TX",31.2,-97.3019,,,,,Troy,TX
"San Carlos, TX",26.2957,-98.063,,,,,San Carlos,TX
"Roby, TX",32.746,-100.3794,,,,,Roby,TX
"Lake Colorado City, TX",32.3491,-100.9376,,,,,Lake Colorado City,TX
"Floresville, TX",29.14,-98.163,,,,,Floresville,TX
"Beckville, TX",32.2436,-94.4561,,,,,Beckville,TX
"Kirbyville, TX",30.6578,-93.9001,,,,,Kirbyville,TX
"Lorenzo, TX",33.6704,-101.5361,,,,,Lorenzo,TX
"Manuel Garcia II, TX",26.3126,-98.6913,,,,,Manuel Garcia II,TX
"Toco, TX",33.6539,-95.6492,,,,,Toco,TX
"Merkel, TX",32.4698,-100.0111,,,,,Merkel,TX
"Zarate, TX",26.3199,-98.6369,,,,,Zarate,TX
"Morse, TX",36.066,-101.4769,,,,,Morse,TX
"Olmito, TX",26.0232,-97.5379,,,,,Olmito,TX
"Cedar Point, TX",30.7975,-95.0749,,,,,Cedar Point,TX
"Miles, TX",31.6006,-100.1853,,,,,Miles,TX
"Lakeshore Gardens-Hidden Acres, TX",28.1234,-97.8653,,,,,Lakeshore Gardens-Hidden Acres,TX
"Hungerford, TX",29.404,-96.0837,,,,,Hungerford,TX
"Stinnett, TX",35.8231,-101.4436,,,,,Stinnett,TX
"Comanche, TX",31.9005,-98.6044,,,,,Comanche,TX
"Rockport, TX",28.029,-97.0722,,,,,Rockport,TX
"La Feria, TX",26.1544,-97.8256,,,,,La Feria,TX
"Kermit, TX",31.854,-103.0924,,,,,Kermit,TX
"Weatherford, TX",32.7535,-97.7724,,,,,Weatherford,TX
"Flatonia, TX",29.6886,-97.106,,,,,Flatonia,TX
"Everman, TX",32.6296,-97.2827,,,,,Everman,TX
"Annona, TX",33.5818,-94.913,,,,,Annona,TX
"Holiday Lakes, TX",29.2083,-95.5146,,,,,Holiday Lakes,TX
"Hunters Creek Village, TX",29.7715,-95.4987,,,,,Hunters Creek Village,TX
"La Pryor, TX",28.9489,-99.8484,,,,,La Pryor,TX
"Bellmead, TX",31.6025,-97.0896,,,,,Bellmead,TX
"Spring, TX",30.0613,-95.383,,,,,Spring,TX
"Simonton, TX",29.6824,-95.991,,,,,Simonton,TX
"Marietta, TX",33.1736,-94.5425,,,,,Marietta,TX
"Como, TX",33.0601,-95.4757,,,,,Como,TX
"Brazos Bend, TX",32.4752,-97.7611,,,,,Brazos Bend,TX
"Splendora, TX",30.2321,-95.1617,,,,,Splendora,TX
"Buena Vista, TX",26.2941,-98.6109,,,,,Buena Vista,TX
"Lipan, TX",32.5187,-98.047,,,,,Lipan,TX
"Chula Vista, TX",28.6573,-100.422,,,,,Chula Vista,TX
"Barton Creek, TX",30.2818,-97.8681,,,,,Barton Creek,TX
"Flowella, TX",27.22,-98.0645,,,,,Flowella,TX
"Mabank, TX",32.3682,-96.1141,,,,,Mabank,TX
"Pecan Hill, TX",32.4906,-96.7815,,,,,Pecan Hill,TX
"Cut and Shoot, TX",30.3404,-95.354,,,,,Cut and Shoot,TX
"Iola, TX",30.7719,-96.0771,,,,,Iola,TX
"Turkey, TX",34.3939,-100.8953,,,,,Turkey,TX
"Galena Park, TX",29.7452,-95.2333,,,,,Galena Park,TX
"Leander, TX",30.5728,-97.8633,,,,,Leander,TX
"Barry, TX",32.0998,-96.6377,,,,,Barry,TX
"Odem, TX",27.9464,-97.5865,,,,,Odem,TX
"Corpus Christi, TX",27.7261,-97.3755,,,,,Corpus Christi,TX
"Odessa, TX",31.8831,-102.3406,,,,,Odessa,TX
"Tornillo, TX",31.4366,-106.1033,,,,,Tornillo,TX
"Weston Lakes, TX",29.6627,-95.9353,,,,,Weston Lakes,TX
"Millican, TX",30.467,-96.2035,,,,,Millican,TX
"Texhoma, TX",36.4937,-101.7937,,,,,Texhoma,TX
"Morgan's Point, TX",29.6765,-95.0027,,,,,Morgan's Point,TX
"Geronimo, TX",29.6728,-97.9686,,,,,Geronimo,TX
"Balcones Heights, TX",29.4899,-98.5502,,,,,Balcones Heights,TX
"Red Oak, TX",32.5204,-96.7862,,,,,Red Oak,TX
"Crowley, TX",32.578,-97.3584,,,,,Crowley,TX
"Elgin, TX",30.3512,-97.3876,,,,,Elgin,TX
"Crystal City, TX",28.6909,-99.8257,,,,,Crystal City,TX
"Salineño North, TX",26.5254,-99.0906,,,,,Salineño North,TX
"Bacliff, TX",29.5077,-94.988,,,,,Bacliff,TX
"Sweetwater, TX",32.4693,-100.4092,,,,,Sweetwater,TX
"Oak Point, TX",33.1802,-96.9911,,,,,Oak Point,TX
"Zavalla, TX",31.1584,-94.418,,,,,Zavalla,TX
"Four Corners, TX",29.6705,-95.6597,,,,,Four Corners,TX
"McGregor, TX",31.4186,-97.4283,,,,,McGregor,TX
"Broaddus, TX",31.305,-94.2699,,,,,Broaddus,TX
"Centerville, TX",31.2579,-95.9796,,,,,Centerville,TX
"Kirvin, TX",31.7671,-96.33,,,,,Kirvin,TX
"Oakwood, TX",31.5848,-95.8499,,,,,Oakwood,TX
"Schertz, TX",29.5648,-98.2537,,,,,Schertz,TX
"Poteet, TX",29.0372,-98.5728,,,,,Poteet,TX
"Airport Road Addition, TX",27.219,-98.0981,,,,,Airport Road Addition,TX
"Port Arthur, TX",29.8554,-93.9264,,,,,Port Arthur,TX
"O'Brien, TX",33.3802,-99.8438,,,,,O'Brien,TX
"Runge, TX",28.8858,-97.7134,,,,,Runge,TX
"Chapeno, TX",26.5507,-99.1339,,,,,Chapeno,TX
"Cockrell Hill, TX",32.7382,-96.8886,,,,,Cockrell Hill,TX
"Port Lavaca, TX",28.6181,-96.6278,,,,,Port Lavaca,TX
"Tolar, TX",32.3894,-97.9191,,,,,Tolar,TX
"Bronte, TX",31.8857,-100.2954,,,,,Bronte,TX
"Lewisville, TX",33.0452,-96.9823,,,,,Lewisville,TX
"DeCordova, TX",32.428,-97.6911,,,,,DeCordova,TX
"Indian Springs, TX",30.6879,-94.7449,,,,,Indian Springs,TX
"Jacksboro, TX",33.2235,-98.1589,,,,,Jacksboro,TX
"Balch Springs, TX",32.7194,-96.6151,,,,,Balch Springs,TX
"Driftwood, TX",30.133,-98.0373,,,,,Driftwood,TX
"Valley Mills, TX",31.6583,-97.4716,,,,,Valley Mills,TX
"Wellington, TX",34.8538,-100.2141,,,,,Wellington,TX
"Poynor, TX",32.0793,-95.5924,,,,,Poynor,TX
"Taylor Lake Village, TX",29.5764,-95.0562,,,,,Taylor Lake Village,TX
"East Bernard, TX",29.5242,-96.0622,,,,,East Bernard,TX
"Sunnyvale, TX",32.7974,-96.5576,,,,,Sunnyvale,TX
"Evadale, TX",30.3369,-94.06,,,,,Evadale,TX
"Rising Star, TX",32.0976,-98.9665,,,,,Rising Star,TX
"Del Sol, TX",28.0132,-97.5202,,,,,Del Sol,TX
"Petrolia, TX",34.0132,-98.2311,,,,,Petrolia,TX
"Iowa Park, TX",33.9622,-98.6819,,,,,Iowa Park,TX
"Sheldon, TX",29.8596,-95.134,,,,,Sheldon,TX
"Bowie, TX",33.5566,-97.844,,,,,Bowie,TX
"Wells Branch, TX",30.4432,-97.6792,,,,,Wells Branch,TX
"Sulphur Springs, TX",33.1421,-95.6124,,,,,Sulphur Springs,TX
"Dodson, TX",34.7654,-100.0204,,,,,Dodson,TX
"Bedias, TX",30.7792,-95.9469,,,,,Bedias,TX
"Howardwick, TX",35.0348,-100.9079,,,,,Howardwick,TX
"New Falcon, TX",26.6382,-99.0947,,,,,New Falcon,TX
"Gatesville, TX",31.4419,-97.7351,,,,,Gatesville,TX
"Ross, TX",31.7282,-97.1123,,,,,Ross,TX
"Kirby, TX",29.4611,-98.386,,,,,Kirby,TX
"Selma, TX",29.5865,-98.3134,,,,,Selma,TX
"Early, TX",31.745,-98.9374,,,,,Early,TX
"Carrollton, TX",32.989,-96.8999,,,,,Carrollton,TX
"Tom Bean, TX",33.5201,-96.4843,,,,,Tom Bean,TX
"Myrtle Springs, TX",32.6151,-95.9329,,,,,Myrtle Springs,TX
"Cantu Addition, TX",27.202,-98.1555,,,,,Cantu Addition,TX
"Bonanza Hills, TX",27.7948,-99.4695,,,,,Bonanza Hills,TX
"Christine, TX",28.7863,-98.4979,,,,,Christine,TX
"South Mountain, TX",31.4398,-97.6793,,,,,South Mountain,TX
"Rio Vista, TX",32.2351,-97.3744,,,,,Rio Vista,TX
"Villa Verde, TX",26.1303,-97.9956,,,,,Villa Verde,TX
"River Oaks, TX",32.7767,-97.3984,,,,,River Oaks,TX
"Cedar Hill, TX",32.5809,-96.9592,,,,,Cedar Hill,TX
"Wimberley, TX",29.9849,-98.0906,,,,,Wimberley,TX
"Cisco, TX",32.3848,-98.9805,,,,,Cisco,TX
"Pittsburg, TX",32.9997,-94.9668,,,,,Pittsburg,TX
"Big Wells, TX",28.5698,-99.5701,,,,,Big Wells,TX
"Edom, TX",32.3743,-95.6099,,,,,Edom,TX
"Southside Place, TX",29.7089,-95.4367,,,,,Southside Place,TX
"Hurst, TX",32.8353,-97.1808,,,,,Hurst,TX
"Stagecoach, TX",30.1438,-95.7079,,,,,Stagecoach,TX
"Pecos, TX",31.4046,-103.5057,,,,,Pecos,TX
"Sudan, TX",34.0663,-102.5242,,,,,Sudan,TX
"Freer, TX",27.8823,-98.6181,,,,,Freer,TX
"Willis, TX",30.4314,-95.4832,,,,,Willis,TX
"Morales-Sanchez, TX",26.7876,-99.1147,,,,,Morales-Sanchez,TX
"New Deal, TX",33.7322,-101.8436,,,,,New Deal,TX
"Hawkins, TX",32.5917,-95.2027,,,,,Hawkins,TX
"Pyote, TX",31.5381,-103.1225,,,,,Pyote,TX
"Arroyo Colorado Estates, TX",26.1864,-97.6113,,,,,Arroyo Colorado Estates,TX
"St. Jo, TX",33.695,-97.5231,,,,,St. Jo,TX
"Potosi, TX",32.3404,-99.6789,,,,,Potosi,TX
"Sandy Point, TX",29.4013,-95.4816,,,,,Sandy Point,TX
"Industry, TX",29.9715,-96.4992,,,,,Industry,TX
"Brenham, TX",30.1586,-96.3965,,,,,Brenham,TX
"West, TX",31.8032,-97.0942,,,,,West,TX
"Gregory, TX",27.9221,-97.2918,,,,,Gregory,TX
"Glenn Heights, TX",32.5506,-96.8548,,,,,Glenn Heights,TX
"Fritch, TX",35.6431,-101.5964,,,,,Fritch,TX
"Brownsboro, TX",32.2985,-95.613,,,,,Brownsboro,TX
"Ganado, TX",29.0412,-96.511,,,,,Ganado,TX
"Bullard, TX",32.1451,-95.3196,,,,,Bullard,TX
"Powderly, TX",33.8091,-95.5049,,,,,Powderly,TX
"Penelope, TX",31.8585,-96.9281,,,,,Penelope,TX
"Taft Southwest, TX",27.9707,-97.4047,,,,,Taft Southwest,TX
"Lakeview, TX",34.6729,-100.6973,,,,,Lakeview,TX
"Jasper, TX",30.9221,-93.9947,,,,,Jasper,TX
"Burton, TX",30.1813,-96.5999,,,,,Burton,TX
"Follett, TX",36.434,-100.1408,,,,,Follett,TX
"Hidalgo, TX",26.108,-98.2481,,,,,Hidalgo,TX
"Mart, TX",31.5421,-96.8299,,,,,Mart,TX
"Gunter, TX",33.4646,-96.7645,,,,,Gunter,TX
"Ferris, TX",32.5369,-96.6738,,,,,Ferris,TX
"Buda, TX",30.0847,-97.844,,,,,Buda,TX
"Breckenridge, TX",32.7566,-98.9125,,,,,Breckenridge,TX
"Somerset, TX",29.2285,-98.6567,,,,,Somerset,TX
"Three Rivers, TX",28.4668,-98.1784,,,,,Three Rivers,TX
"La Coma, TX",27.5029,-99.3014,,,,,La Coma,TX
"Gruver, TX",36.2562,-101.4122,,,,,Gruver,TX
"New Boston, TX",33.4612,-94.4182,,,,,New Boston,TX
"Opdyke West, TX",33.5927,-102.3006,,,,,Opdyke West,TX
"Sam Rayburn, TX",31.0789,-94.0266,,,,,Sam Rayburn,TX
"Chaparrito, TX",26.3408,-98.7354,,,,,Chaparrito,TX
"Rusk, TX",31.7978,-95.1491,,,,,Rusk,TX
"La Feria North, TX",26.1778,-97.8232,,,,,La Feria North,TX
"Crawford, TX",31.5377,-97.4427,,,,,Crawford,TX
"Beverly Hills, TX",31.5224,-97.1564,,,,,Beverly Hills,TX
"Falman, TX",27.9281,-97.1713,,,,,Falman,TX
"Boys Ranch, TX",35.5331,-102.2536,,,,,Boys Ranch,TX
"Netos, TX",26.4108,-98.7585,,,,,Netos,TX
"Taylor, TX",30.5743,-97.4233,,,,,Taylor,TX
"Collinsville, TX",33.5594,-96.9071,,,,,Collinsville,TX
"Orange Grove, TX",27.9562,-97.9386,,,,,Orange Grove,TX
"Leakey, TX",29.7254,-99.7631,,,,,Leakey,TX
"Bishop, TX",27.5851,-97.7977,,,,,Bishop,TX
"Novice, TX",31.9871,-99.6253,,,,,Novice,TX
"Krum, TX",33.2652,-97.2257,,,,,Krum,TX
"Lake Medina Shores, TX",29.6383,-98.9869,,,,,Lake Medina Shores,TX
"Huntsville, TX",30.705,-95.5545,,,,,Huntsville,TX
"Eagle Pass, TX",28.7125,-100.484,,,,,Eagle Pass,TX
"Miller's Cove, TX",33.156,-95.1147,,,,,Miller's Cove,TX
"Pawnee, TX",28.6483,-98.0083,,,,,Pawnee,TX
"San Benito, TX",26.1298,-97.644,,,,,San Benito,TX
"Cove, TX",29.8122,-94.8201,,,,,Cove,TX
"Buna, TX",30.4458,-93.9625,,,,,Buna,TX
"Havana, TX",26.2507,-98.509,,,,,Havana,TX
"Natalia, TX",29.1877,-98.8524,,,,,Natalia,TX
"Escobares, TX",26.412,-98.9598,,,,,Escobares,TX
"Groom, TX",35.205,-101.1071,,,,,Groom,TX
"Cross Timber, TX",32.4832,-97.326,,,,,Cross Timber,TX
"Mi Ranchito Estate, TX",26.3878,-98.8733,,,,,Mi Ranchito Estate,TX
"Samnorwood, TX",35.05,-100.2814,,,,,Samnorwood,TX
"Booker, TX",36.4561,-100.5402,,,,,Booker,TX
"Stowell, TX",29.7814,-94.3794,,,,,Stowell,TX
"Encantada-Ranchito-El Calaboz, TX",26.0333,-97.6331,,,,,Encantada-Ranchito-El Calaboz,TX
"Sealy, TX",29.7674,-96.1679,,,,,Sealy,TX
"Arroyo Gardens, TX",26.2052,-97.5021,,,,,Arroyo Gardens,TX
