City,lat,lng,,,,,city,state_id
"Grandview, WA",46.2431,-119.9084,,,,,Grandview,WA
"Inchelium, WA",48.3378,-118.2372,,,,,Inchelium,WA
"Grand Coulee, WA",47.9391,-119.0031,,,,,Grand Coulee,WA
"Union, WA",47.3475,-123.0952,,,,,Union,WA
"Torboy, WA",48.6772,-118.6689,,,,,Torboy,WA
"Kelso, WA",46.1248,-122.8909,,,,,Kelso,WA
"Westport, WA",46.8919,-124.112,,,,,Westport,WA
"Junction City, WA",46.9713,-123.7651,,,,,Junction City,WA
"Lake Ketchum, WA",48.282,-122.348,,,,,Lake Ketchum,WA
"West Pasco, WA",46.2497,-119.1684,,,,,West Pasco,WA
"Des Moines, WA",47.3914,-122.3154,,,,,Des Moines,WA
"Davenport, WA",47.6551,-118.1519,,,,,Davenport,WA
"Seattle, WA",47.6211,-122.3244,,,,,Seattle,WA
"Lake Stickney, WA",47.8709,-122.2596,,,,,Lake Stickney,WA
"Carnation, WA",47.6446,-121.9048,,,,,Carnation,WA
"Everett, WA",47.9524,-122.167,,,,,Everett,WA
"Warden, WA",46.9674,-119.0522,,,,,Warden,WA
"Palouse, WA",46.9103,-117.0751,,,,,Palouse,WA
"Terrace Heights, WA",46.6024,-120.4482,,,,,Terrace Heights,WA
"Clarkston, WA",46.4152,-117.0502,,,,,Clarkston,WA
"Elmer City, WA",48,-118.9534,,,,,Elmer City,WA
"Mossyrock, WA",46.5305,-122.4887,,,,,Mossyrock,WA
"Summit View, WA",47.1343,-122.3468,,,,,Summit View,WA
"Suquamish, WA",47.7238,-122.583,,,,,Suquamish,WA
"Newcastle, WA",47.5303,-122.1633,,,,,Newcastle,WA
"Stanwood, WA",48.2451,-122.3426,,,,,Stanwood,WA
"Kapowsin, WA",46.9727,-122.2272,,,,,Kapowsin,WA
"Donald, WA",46.4737,-120.3923,,,,,Donald,WA
"Altoona, WA",46.2699,-123.6145,,,,,Altoona,WA
"South Prairie, WA",47.1373,-122.094,,,,,South Prairie,WA
"Eschbach, WA",46.667,-120.6337,,,,,Eschbach,WA
"Indianola, WA",47.7566,-122.5142,,,,,Indianola,WA
"Reardan, WA",47.6698,-117.8778,,,,,Reardan,WA
"Cowiche, WA",46.6729,-120.7154,,,,,Cowiche,WA
"Sunday Lake, WA",48.2306,-122.2684,,,,,Sunday Lake,WA
"Rocky Point, WA",47.5882,-122.6668,,,,,Rocky Point,WA
"Burbank, WA",46.1991,-118.9728,,,,,Burbank,WA
"Lakeland North, WA",47.3374,-122.2814,,,,,Lakeland North,WA
"Granite Falls, WA",48.0874,-121.9704,,,,,Granite Falls,WA
"Camas, WA",45.6003,-122.4306,,,,,Camas,WA
"Skokomish, WA",47.3298,-123.1579,,,,,Skokomish,WA
"Cusick, WA",48.3328,-117.2961,,,,,Cusick,WA
"Rosalia, WA",47.2363,-117.3769,,,,,Rosalia,WA
"Longbranch, WA",47.2257,-122.7739,,,,,Longbranch,WA
"Granger, WA",46.3455,-120.1926,,,,,Granger,WA
"North Fort Lewis, WA",47.1221,-122.5966,,,,,North Fort Lewis,WA
"Tampico, WA",46.5325,-120.8727,,,,,Tampico,WA
"Tukwila, WA",47.4748,-122.2727,,,,,Tukwila,WA
"Cathlamet, WA",46.2056,-123.3835,,,,,Cathlamet,WA
"Wenatchee, WA",47.4338,-120.3286,,,,,Wenatchee,WA
"Port Ludlow, WA",47.9101,-122.7006,,,,,Port Ludlow,WA
"Castle Rock, WA",46.2717,-122.9057,,,,,Castle Rock,WA
"Glacier, WA",48.8903,-121.9323,,,,,Glacier,WA
"Index, WA",47.8212,-121.5556,,,,,Index,WA
