,Flight Date,Carrier,ORIGIN,DEST,DEP_DELAY_NEW,ARR_DELAY_NEW,FLIGHTS,WEATHER_DELAY
87,2017-04-05,DL,IAH,ATL,384.0,438.0,1.0,0.0
88,2017-04-06,DL,IAH,ATL,99.0,100.0,1.0,0.0
89,2017-04-06,DL,IAH,ATL,40.0,36.0,1.0,0.0
90,2017-04-06,DL,IAH,ATL,275.0,254.0,1.0,0.0
91,2017-04-06,DL,IAH,ATL,322.0,309.0,1.0,0.0
92,2017-04-07,DL,IAH,SLC,119.0,137.0,1.0,0.0
93,2017-04-07,DL,IAH,ATL,36.0,30.0,1.0,0.0
94,2017-04-07,DL,IAH,ATL,33.0,26.0,1.0,0.0
95,2017-04-08,DL,IAH,ATL,66.0,69.0,1.0,0.0
96,2017-04-09,DL,IAH,ATL,41.0,40.0,1.0,0.0
97,2017-04-09,DL,IAH,ATL,85.0,76.0,1.0,0.0
98,2017-04-09,DL,IAH,ATL,60.0,47.0,1.0,0.0
99,2017-04-09,DL,IAH,ATL,130.0,117.0,1.0,0.0
100,2017-04-09,DL,IAH,SLC,137.0,136.0,1.0,0.0
101,2017-04-10,DL,IAH,ATL,19.0,17.0,1.0,0.0
102,2017-04-11,DL,IAH,ATL,22.0,31.0,1.0,0.0
103,2017-04-11,DL,IAH,ATL,81.0,82.0,1.0,0.0
104,2017-04-11,DL,IAH,ATL,27.0,76.0,1.0,0.0
105,2017-04-15,DL,IAH,ATL,29.0,19.0,1.0,0.0
106,2017-04-17,DL,IAH,ATL,23.0,32.0,1.0,0.0
107,2017-04-17,DL,IAH,SLC,173.0,167.0,1.0,6.0
108,2017-04-17,DL,IAH,ATL,41.0,37.0,1.0,13.0
109,2017-04-23,DL,IAH,SLC,194.0,176.0,1.0,0.0
110,2017-04-25,DL,IAH,ATL,216.0,204.0,1.0,0.0
111,2017-04-26,DL,IAH,ATL,24.0,33.0,1.0,0.0
112,2017-04-28,DL,IAH,ATL,38.0,27.0,1.0,0.0
113,2017-04-30,DL,IAH,ATL,37.0,52.0,1.0,0.0
114,2017-04-30,DL,IAH,ATL,15.0,16.0,1.0,0.0
115,2017-04-30,DL,IAH,ATL,27.0,23.0,1.0,0.0
116,2017-05-02,DL,IAH,SLC,158.0,144.0,1.0,0.0
117,2017-05-03,DL,IAH,ATL,375.0,353.0,1.0,0.0
118,2017-05-03,DL,IAH,ATL,30.0,35.0,1.0,0.0
119,2017-05-03,DL,IAH,SLC,946.0,958.0,1.0,0.0
120,2017-05-03,DL,IAH,ATL,361.0,358.0,1.0,0.0
121,2017-05-03,DL,IAH,ATL,11.0,68.0,1.0,0.0
122,2017-05-03,DL,IAH,DTW,61.0,82.0,1.0,0.0
123,2017-05-04,DL,IAH,SLC,82.0,74.0,1.0,0.0
124,2017-05-04,DL,IAH,ATL,28.0,29.0,1.0,0.0
125,2017-05-04,DL,IAH,ATL,2.0,39.0,1.0,0.0
126,2017-05-04,DL,IAH,ATL,65.0,68.0,1.0,0.0
127,2017-05-06,DL,IAH,ATL,26.0,18.0,1.0,0.0
128,2017-05-06,DL,IAH,ATL,567.0,565.0,1.0,0.0
129,2017-05-09,DL,IAH,ATL,38.0,24.0,1.0,0.0
130,2017-05-11,DL,IAH,ATL,27.0,15.0,1.0,0.0
131,2017-05-11,DL,IAH,SLC,0.0,35.0,1.0,0.0
132,2017-05-12,DL,IAH,ATL,34.0,19.0,1.0,0.0
133,2017-05-14,DL,IAH,DTW,316.0,289.0,1.0,0.0
134,2017-05-18,DL,IAH,ATL,50.0,33.0,1.0,0.0
135,2017-05-19,DL,IAH,ATL,63.0,50.0,1.0,0.0
136,2017-05-19,DL,IAH,ATL,28.0,24.0,1.0,0.0
137,2017-05-20,DL,IAH,ATL,116.0,115.0,1.0,0.0
138,2017-05-20,DL,IAH,ATL,71.0,82.0,1.0,0.0
139,2017-05-20,DL,IAH,SLC,310.0,293.0,1.0,0.0
140,2017-05-21,DL,IAH,ATL,15.0,17.0,1.0,0.0
141,2017-05-21,DL,IAH,ATL,38.0,41.0,1.0,0.0
142,2017-05-21,DL,IAH,ATL,1.0,40.0,1.0,0.0
143,2017-05-21,DL,IAH,ATL,48.0,63.0,1.0,0.0
144,2017-05-22,DL,IAH,ATL,53.0,43.0,1.0,0.0
145,2017-05-22,DL,IAH,ATL,79.0,71.0,1.0,0.0
146,2017-05-23,DL,IAH,ATL,314.0,300.0,1.0,0.0
147,2017-05-24,DL,IAH,ATL,61.0,47.0,1.0,0.0
148,2017-05-24,DL,IAH,ATL,39.0,45.0,1.0,0.0
149,2017-05-25,DL,IAH,SLC,31.0,21.0,1.0,0.0
150,2017-05-25,DL,IAH,ATL,31.0,49.0,1.0,0.0
151,2017-05-26,DL,IAH,ATL,95.0,73.0,1.0,0.0
152,2017-05-29,DL,IAH,ATL,24.0,17.0,1.0,0.0
153,2017-05-29,DL,IAH,ATL,9.0,29.0,1.0,0.0
154,2017-05-29,DL,IAH,ATL,10.0,21.0,1.0,0.0
155,2017-05-29,DL,IAH,ATL,782.0,794.0,1.0,0.0
156,2017-05-30,DL,IAH,ATL,55.0,43.0,1.0,0.0
157,2017-05-30,DL,IAH,ATL,50.0,25.0,1.0,0.0
158,2017-05-30,DL,IAH,ATL,0.0,23.0,1.0,0.0
159,2017-05-30,DL,IAH,ATL,42.0,30.0,1.0,0.0
160,2017-06-01,DL,IAH,ATL,41.0,15.0,1.0,0.0
161,2017-06-01,DL,IAH,ATL,0.0,18.0,1.0,0.0
162,2017-06-03,DL,IAH,ATL,43.0,92.0,1.0,0.0
163,2017-06-04,DL,IAH,ATL,93.0,90.0,1.0,0.0
164,2017-06-04,DL,IAH,ATL,170.0,171.0,1.0,0.0
165,2017-06-04,DL,IAH,ATL,0.0,15.0,1.0,0.0
166,2017-06-04,DL,IAH,DTW,43.0,18.0,1.0,18.0
167,2017-06-04,DL,IAH,ATL,183.0,202.0,1.0,0.0
168,2017-06-04,DL,IAH,ATL,35.0,56.0,1.0,0.0
169,2017-06-04,DL,IAH,ATL,197.0,202.0,1.0,0.0
170,2017-06-05,DL,IAH,ATL,0.0,17.0,1.0,0.0
171,2017-06-05,DL,IAH,ATL,43.0,36.0,1.0,0.0
172,2017-06-05,DL,IAH,ATL,62.0,60.0,1.0,0.0
173,2017-06-05,DL,IAH,ATL,17.0,16.0,1.0,0.0
174,2017-06-05,DL,IAH,ATL,75.0,58.0,1.0,6.0
175,2017-06-05,DL,IAH,ATL,0.0,20.0,1.0,0.0
176,2017-06-06,DL,IAH,ATL,43.0,37.0,1.0,4.0
177,2017-06-09,DL,IAH,ATL,29.0,33.0,1.0,0.0
178,2017-06-10,DL,IAH,ATL,27.0,23.0,1.0,0.0
179,2017-06-12,DL,IAH,ATL,67.0,44.0,1.0,0.0
180,2017-06-12,DL,IAH,ATL,61.0,56.0,1.0,0.0
181,2017-06-12,DL,IAH,ATL,94.0,81.0,1.0,0.0
182,2017-06-15,DL,IAH,ATL,0.0,32.0,1.0,0.0
183,2017-06-15,DL,IAH,ATL,53.0,40.0,1.0,0.0
184,2017-06-15,DL,IAH,ATL,93.0,91.0,1.0,0.0
185,2017-06-15,DL,IAH,ATL,37.0,36.0,1.0,0.0
186,2017-06-16,DL,IAH,ATL,24.0,22.0,1.0,0.0
187,2017-06-17,DL,IAH,DTW,33.0,27.0,1.0,0.0
188,2017-06-17,DL,IAH,ATL,76.0,90.0,1.0,0.0
189,2017-06-17,DL,IAH,ATL,21.0,20.0,1.0,0.0
190,2017-06-18,DL,IAH,ATL,79.0,81.0,1.0,0.0
191,2017-06-19,DL,IAH,ATL,51.0,39.0,1.0,0.0
192,2017-06-20,DL,IAH,ATL,76.0,69.0,1.0,0.0
193,2017-06-20,DL,IAH,ATL,25.0,22.0,1.0,0.0
194,2017-06-21,DL,IAH,ATL,26.0,15.0,1.0,0.0
195,2017-06-21,DL,IAH,SLC,0.0,15.0,1.0,0.0
196,2017-06-22,DL,IAH,ATL,20.0,44.0,1.0,0.0
197,2017-06-23,DL,IAH,DTW,6.0,15.0,1.0,6.0
198,2017-06-23,DL,IAH,ATL,7.0,29.0,1.0,0.0
199,2017-06-24,DL,IAH,ATL,11.0,16.0,1.0,0.0
200,2017-06-24,DL,IAH,ATL,9.0,18.0,1.0,0.0
201,2017-06-27,DL,IAH,ATL,496.0,466.0,1.0,0.0
202,2017-06-28,DL,IAH,DTW,33.0,22.0,1.0,0.0
203,2017-06-28,DL,IAH,ATL,118.0,109.0,1.0,0.0
204,2017-06-29,DL,IAH,ATL,34.0,25.0,1.0,0.0
205,2017-06-30,DL,IAH,ATL,28.0,23.0,1.0,0.0
206,2017-06-30,DL,IAH,ATL,9.0,19.0,1.0,0.0
207,2017-06-30,DL,IAH,ATL,13.0,15.0,1.0,0.0
208,2017-07-02,DL,IAH,ATL,0.0,16.0,1.0,0.0
209,2017-07-03,DL,IAH,ATL,82.0,74.0,1.0,0.0
210,2017-07-06,DL,IAH,SLC,374.0,339.0,1.0,0.0
211,2017-07-08,DL,IAH,ATL,58.0,50.0,1.0,0.0
212,2017-07-10,DL,IAH,ATL,88.0,120.0,1.0,0.0
213,2017-07-10,DL,IAH,ATL,0.0,37.0,1.0,0.0
214,2017-07-11,DL,IAH,ATL,68.0,75.0,1.0,0.0
215,2017-07-11,DL,IAH,ATL,96.0,83.0,1.0,0.0
216,2017-07-11,DL,IAH,ATL,0.0,19.0,1.0,0.0
217,2017-07-11,DL,IAH,ATL,15.0,61.0,1.0,0.0
218,2017-07-11,DL,IAH,ATL,65.0,64.0,1.0,0.0
219,2017-07-11,DL,IAH,ATL,46.0,36.0,1.0,0.0
220,2017-07-12,DL,IAH,ATL,22.0,17.0,1.0,0.0
221,2017-07-12,DL,IAH,ATL,31.0,26.0,1.0,0.0
222,2017-07-12,DL,IAH,ATL,60.0,48.0,1.0,0.0
223,2017-07-13,DL,IAH,ATL,27.0,50.0,1.0,0.0
224,2017-07-14,DL,IAH,ATL,22.0,21.0,1.0,0.0
225,2017-07-14,DL,IAH,ATL,19.0,18.0,1.0,0.0
226,2017-07-14,DL,IAH,SLC,90.0,68.0,1.0,0.0
227,2017-07-14,DL,IAH,ATL,2.0,20.0,1.0,0.0
228,2017-07-15,DL,IAH,ATL,11.0,18.0,1.0,0.0
229,2017-07-15,DL,IAH,MSP,147.0,127.0,1.0,0.0
230,2017-07-15,DL,IAH,ATL,33.0,43.0,1.0,0.0
231,2017-07-15,DL,IAH,ATL,200.0,191.0,1.0,0.0
232,2017-07-16,DL,IAH,ATL,57.0,44.0,1.0,0.0
233,2017-07-16,DL,IAH,ATL,0.0,15.0,1.0,0.0
234,2017-07-16,DL,IAH,ATL,191.0,198.0,1.0,0.0
235,2017-07-17,DL,IAH,ATL,85.0,65.0,1.0,0.0
236,2017-07-18,DL,IAH,ATL,80.0,70.0,1.0,0.0
237,2017-07-18,DL,IAH,ATL,114.0,135.0,1.0,0.0
238,2017-07-21,DL,IAH,SLC,54.0,88.0,1.0,0.0
239,2017-07-22,DL,IAH,ATL,10.0,16.0,1.0,0.0
240,2017-07-22,DL,IAH,ATL,51.0,49.0,1.0,0.0
241,2017-07-23,DL,IAH,ATL,118.0,105.0,1.0,0.0
242,2017-07-23,DL,IAH,ATL,42.0,42.0,1.0,0.0
243,2017-07-23,DL,IAH,SLC,171.0,158.0,1.0,0.0
244,2017-07-24,DL,IAH,ATL,58.0,60.0,1.0,0.0
245,2017-07-24,DL,IAH,ATL,3.0,17.0,1.0,0.0
246,2017-07-25,DL,IAH,ATL,37.0,42.0,1.0,0.0
247,2017-07-25,DL,IAH,ATL,157.0,136.0,1.0,0.0
248,2017-07-25,DL,IAH,ATL,41.0,59.0,1.0,0.0
249,2017-07-25,DL,IAH,ATL,49.0,66.0,1.0,0.0
250,2017-07-26,DL,IAH,ATL,26.0,15.0,1.0,0.0
251,2017-07-27,DL,IAH,ATL,1.0,22.0,1.0,0.0
252,2017-07-28,DL,IAH,ATL,52.0,45.0,1.0,0.0
